Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1803,0.00012844295957597628,344.0310492807587,-2.2855791687801207e-06,358.65077997506035,12.394980154563765,2.67587199588858,60.404341817460505,274.5050506591797,760.508046468099,281.07299550374347
1804,0.00013093912049181675,344.0682165969896,-2.034090334062843e-06,359.52869597563125,12.71613281455242,2.6917820167323114,60.36470274902327,274.4860483805339,761.5410817464193,281.15699768066406
1805,0.00013336866811476357,344.08308483117617,-1.9297659831638374e-06,364.30370432998336,12.62431267799198,2.7297852284332054,61.31991145746931,274.4660466512044,762.6710561116537,281.23399607340497
1806,0.00013569513718741965,344.03212826398703,-2.2700276615592782e-06,364.3432293357412,12.734325994930348,2.7363256272318086,61.22344968188294,274.4470520019531,763.7990773518881,281.32200113932294
1807,0.0001380950785449476,343.9982430498625,-2.502610819376687e-06,367.234932813752,12.831973358155818,2.7751216953268134,61.706469136452746,274.4280471801758,765.0220794677734,281.40900166829425
1808,0.00014058284554258364,344.01692130083245,-2.3817073509043506e-06,380.03527200344246,13.369384811449004,2.846709201622861,64.08195973155631,274.4110514322917,766.319081624349,281.4959996541341
1809,0.00014281428739817354,343.9181694268367,-3.046126320715499e-06,372.8486855412818,12.94143865973299,2.8018920476325544,62.71002212876877,274.38305409749347,767.6550801595052,281.56599680582684
1810,0.0001453863520372517,343.9540981381731,-2.8143286179692046e-06,374.7180119050739,13.012132843244911,2.82398353235988,62.97351665449524,274.36004638671875,769.1471150716146,281.6480026245117
1811,0.00014762611427609695,343.868458996339,-3.390247212492454e-06,369.2694863079116,12.871402399513393,2.803000630901314,61.82960599561912,274.3340479532878,770.7180430094401,281.71799723307294
1812,0.0001502155494383283,343.913791092942,-3.0937338642905816e-06,364.5806874718721,12.730963817667092,2.785422830614805,60.85746996681422,274.3040517171224,772.2101186116537,281.7899983723958
1813,0.00015275331574538767,343.9806005472143,-2.6418441173095157e-06,365.91388742059627,12.626185638831178,2.7962887210753067,61.13613019851266,274.26705169677734,773.7009938557943,281.8580017089844
1814,0.0001550691785964633,343.9514434652167,-2.830559597528263e-06,377.9855416791419,12.963790027634335,2.8937253673868346,63.49192822884616,274.2310485839844,774.828135172526,281.9310048421224
1815,0.00015733418733192777,343.8650577810326,-3.4129298180890413e-06,375.5806647955672,13.066021719780442,2.881174396667863,62.87157569872296,274.1810506184896,776.1400197347006,281.9919967651367
1816,0.00015983424532025326,343.8644875345543,-3.4260023808828896e-06,371.6298227687404,12.698183088806628,2.8945196297552065,62.14643251873565,274.14305114746094,777.3801574707031,282.0590006510417
1817,0.00016218936443312078,343.8283544035297,-3.672095946545949e-06,376.4429441283954,13.076546506230793,2.9394259653777777,62.94153100870699,274.1070556640625,778.9910329182943,282.1270014444987
1818,0.00016473141556822967,343.8623813072178,-3.4475851661298366e-06,383.9142096017897,13.497278072979814,3.00197823341283,64.26768048931984,274.071050008138,780.3030497233073,282.1999994913737
1819,0.000167084682442339,343.8402439216769,-3.594493476063713e-06,378.3325838344464,13.018464152385413,2.956182587777584,63.25758927353961,274.050048828125,781.4260508219401,282.27200571695965
1820,0.00016941571714101618,343.78930756061345,-3.939128557155267e-06,382.4197482792824,13.002182670483212,2.995581552829647,64.0766432984354,274.0070495605469,782.4270782470703,282.3460006713867
1821,0.00017166017376757563,343.69099013566927,-4.60687034254403e-06,382.8975341008877,13.235943672593384,3.0073087305857005,63.98744908758229,273.97004954020184,783.5681304931641,282.4150034586589
1822,0.00017441415589509483,343.7837095420357,-3.994530433566427e-06,378.6708004400731,12.715016778190462,2.99428323979268,63.22724653024458,273.9330520629883,784.9560546875,282.4769999186198
1823,0.00017672855017224193,343.7682653880447,-4.092538378360583e-06,374.3931813157347,12.632634916836032,2.994537839050356,62.26076437261461,273.8950500488281,786.2210744222006,282.54000091552734
1824,0.00017928566935844915,343.8127707090173,-3.792685624773048e-06,377.040711415511,12.995663056691647,3.0211119809130493,62.56343379800663,273.84704844156903,787.4750722249349,282.6179962158203
1825,0.00018166470836219564,343.8101034156458,-3.8059739193488925e-06,380.31674976188685,12.872461229997604,3.071614761914363,63.18578955390959,273.7860463460286,788.7140604654948,282.6759999593099
1826,0.0001839763389301125,343.7653991540965,-4.10578371979256e-06,378.8222655140124,12.847946558125464,3.0591930934332394,62.815941509777446,273.7280502319336,789.831044514974,282.6929982503255
1827,0.0001863580836288704,343.7313135674899,-4.339560488871696e-06,382.4773392117438,13.016080869656845,3.127305636807274,63.38999010724139,273.6770553588867,790.8700917561849,282.69299570719403
1828,0.00018883999786229277,343.7373017505977,-4.304073518057665e-06,395.9754324666183,13.520464298618515,3.2310008822057386,65.90535948629658,273.6410522460937,791.9830423990885,282.708002726237
1829,0.0001909818400952783,343.63285464979765,-5.00818519262323e-06,389.1746282041487,13.139440279288412,3.189500783985872,64.57289823663554,273.6020533243816,793.0000712076823,282.76099650065106
1830,0.00019362752960891283,343.66952386320804,-4.772379126562995e-06,392.1065328641397,13.264515054652378,3.406492166875057,64.94076179033591,273.5640513102214,793.9600270589193,282.8249994913737
1831,0.00019582692672985647,343.5978923651001,-5.254248987991724e-06,384.20125072452805,12.965550560574089,3.3168917025616285,63.33682174076503,273.5200500488281,794.8100738525391,282.8909962972005
1832,0.0001984537142515927,343.63744742918084,-4.9952182579502106e-06,382.363398002473,12.961496084798576,3.316047923811443,62.87089656141417,273.44404856363934,795.5789845784506,282.9219970703125
1833,0.00020100945796933543,343.69314682692095,-4.618286818437341e-06,383.4537927943128,12.827355939976549,3.342535309207534,63.06958370159948,273.37204996744794,796.1241149902344,282.96599833170575
1834,0.0002027951554234593,343.6673055401396,-4.785918049852765e-06,394.1429023376304,13.102359030322225,3.4371764833811347,65.10499264081507,273.21405029296875,797.0440368652344,283.0279998779297
1835,0.00020592407075169564,343.5657693989443,-5.470293741234276e-06,390.5551391819573,13.133551767620194,3.43109153314582,64.23544316564437,273.0790506998698,797.8309682210287,283.08599853515625
1836,0.0002080236976386486,343.57305781636717,-5.432010543334543e-06,389.978664389183,12.867133430325904,3.5606120619485004,64.08016333132153,272.9540532430013,798.1060129801432,283.1489995320638
1837,0.00021030339728224522,343.52382955030635,-5.765937158120443e-06,394.75650376781886,13.270384331682742,3.5905748734495657,64.82242714481194,272.87305450439453,798.1159820556641,283.19800059000653
1838,0.00021290788548761818,343.55901377849005,-5.5349451172359125e-06,401.2961870125921,13.605264977591048,3.6773493839788993,65.94724656685626,272.86605072021484,797.9370168050131,283.2530034383138
1839,0.0002152289903021951,343.53541334972584,-5.6919344789941435e-06,396.9116368644367,13.18858094627157,3.6804199625611256,65.11131218043978,272.8580500284831,797.9220987955729,283.3109995524089
1840,0.00021752789472280883,343.484440331363,-6.037030578631372e-06,395.88091618643386,12.8895445368548,3.7424452069524783,64.92298176034035,272.79905192057294,798.3870493570963,283.38200124104816
1841,0.00021973237916326778,343.39335571902234,-6.656179454690718e-06,402.3727418168372,13.43207834144722,3.826558744119807,65.9454451837981,272.68904876708984,799.0600840250651,283.46699778238934
1842,0.00022252136747389557,343.46467201973485,-6.187222466574318e-06,396.9951221368095,12.928627400551376,3.856907997872313,64.92167359416241,272.5820541381836,800.0011189778646,283.5279998779297
1843,0.0002243808185023074,343.4682884558315,-6.158841026245979e-06,389.73678087183737,12.63268139047172,3.8533093925905946,63.424060913522,272.607048034668,801.4921824137369,283.56600189208984
1844,0.00022792915719601074,343.5113314856342,-5.8674435698245475e-06,392.7074417140548,13.024345477938166,3.976687412934379,63.76245430030204,272.6480534871419,803.6190745035807,283.60899861653644
1845,0.00022982489774588496,343.5097440035968,-5.8732035047404296e-06,397.85005599568376,12.999929821414131,4.15428124651865,64.68556723249593,272.6400502522786,805.6650695800781,283.7249959309896
1846,0.00023208926412146097,343.4632201373199,-6.185093665141103e-06,395.9082621735635,12.972553554670752,4.138125135238822,64.24405152639606,272.73004659016925,807.2559560139974,283.8470001220703
1847,0.00023445325660949968,343.4279892746236,-6.426742685792856e-06,402.9851574748714,13.271530276425436,4.301750207921762,65.44362075203811,272.8130518595378,807.9369812011719,283.9359995524089
1848,0.00023692166572085007,343.42522127869233,-6.45038951913088e-06,413.5582929452125,13.6475822359264,4.401966128843545,67.39824375327751,272.88504791259766,808.092041015625,284.0679982503255
1849,0.00025575897590354577,343.3270524737156,-7.113151618558433e-06,408.9399341234632,13.424114595690698,4.442860300051104,66.42707154065786,272.95404561360675,808.2150014241537,284.20699818929035
1850,0.00038143335892218644,343.36681915843917,-6.856138254531669e-06,411.4628743194825,13.456576847229837,4.544463775546904,66.78304875030415,273.0210469563802,808.2490285237631,284.3169987996419
1851,0.0005153791880776565,343.6668763277338,-4.834983425514066e-06,402.2448152541545,13.172439920844475,4.5065997179040895,64.9500465918497,273.09405008951825,808.4141082763672,284.4510040283203
1852,0.0005544457589538752,343.839214582356,-3.6432157991450166e-06,397.4985199915501,13.001819323507366,4.548173376622195,63.95789986488204,273.1680501302083,809.1631317138672,284.59800211588544
1853,0.000577193943086545,343.9364804276586,-2.960970288859134e-06,400.3388041437756,13.034253236711525,4.645593816185576,64.44555417814735,273.26405080159503,810.4040578206381,284.7309977213542
1854,0.0005997520786902021,343.93565758256153,-2.948137664770368e-06,413.399131509534,13.421990057867442,5.062418700342138,66.79469521937582,273.36304982503253,811.7321421305338,284.8459981282552
1855,0.0006224310090080379,343.8198415436211,-3.722468043358447e-06,408.11045388038974,13.373651283699798,5.055876658386677,65.65156397841133,273.47004954020184,813.3320363362631,284.9409993489583
